날짜,"선물국채3년_외국인거래량
(매수)","선물국채3년_외국인거래량
(매도)"
2016/01/13,"22,354","20,127"
2016/01/12,"18,220","23,156"
2016/01/11,"28,545","19,752"
2016/01/08,"20,490","21,705"
2016/01/07,"27,555","21,824"
2016/01/06,"24,699","27,252"
2016/01/05,"30,202","35,181"
2016/01/04,"38,881","31,375"
2015/12/30,"17,920","18,811"
2015/12/29,"21,651","13,325"
2015/12/28,"14,633","8,710"
2015/12/24,"10,496","6,483"
2015/12/23,"14,767","8,596"
2015/12/22,"21,846","23,962"
2015/12/21,"44,258","26,266"
2015/12/18,"40,343","19,440"
2015/12/17,"16,059","14,887"
2015/12/16,"16,716","16,385"
2015/12/15,"46,468","43,179"
2015/12/14,"119,495","105,654"
2015/12/11,"150,840","148,961"
2015/12/10,"47,744","37,870"
2015/12/09,"24,497","22,109"
2015/12/08,"24,829","14,238"
2015/12/07,"17,506","14,856"
2015/12/04,"14,471","19,860"
2015/12/03,"20,571","16,263"
2015/12/02,"9,201","12,725"
2015/12/01,"32,470","30,322"
2015/11/30,"17,942","12,537"
2015/11/27,"15,828","14,394"
2015/11/26,"11,981","13,924"
2015/11/25,"14,008","13,354"
2015/11/24,"16,747","18,527"
2015/11/23,"30,246","16,068"
2015/11/20,"26,894","21,680"
2015/11/19,"31,641","25,380"
2015/11/18,"14,830","14,163"
2015/11/17,"18,414","19,520"
2015/11/16,"24,113","25,538"
2015/11/13,"22,306","31,907"
2015/11/12,"38,131","39,343"
2015/11/11,"23,100","42,432"
2015/11/10,"35,409","42,624"
2015/11/09,"38,539","49,954"
2015/11/06,"27,657","35,037"
2015/11/05,"19,349","30,929"
2015/11/04,"24,558","41,102"
2015/11/03,"29,400","32,152"
2015/11/02,"19,616","18,997"
2015/10/30,"34,114","35,856"
2015/10/29,"27,937","28,094"
2015/10/28,"26,421","30,900"
2015/10/27,"14,924","18,346"
2015/10/26,"18,900","15,963"
2015/10/23,"23,030","27,712"
2015/10/22,"16,699","18,868"
2015/10/21,"18,504","26,548"
2015/10/20,"16,315","19,875"
2015/10/19,"22,038","21,034"
2015/10/16,"11,565","18,024"
2015/10/15,"48,150","42,639"
2015/10/14,"34,536","45,601"
2015/10/13,"39,841","35,924"
2015/10/12,"20,982","20,080"
2015/10/08,"36,487","37,843"
2015/10/07,"26,806","25,356"
2015/10/06,"25,142","23,103"
2015/10/05,"27,397","21,352"
2015/10/02,"18,244","18,746"
2015/10/01,"38,783","42,509"
2015/09/30,"32,134","23,135"
2015/09/25,"17,364","14,364"
2015/09/24,"18,144","15,602"
2015/09/23,"21,792","24,165"
2015/09/22,"21,117","24,129"
2015/09/21,"20,402","17,259"
2015/09/18,"28,886","23,863"
2015/09/17,"24,074","26,496"
2015/09/16,"15,550","19,451"
2015/09/15,"54,126","50,534"
2015/09/14,"111,190","108,757"
2015/09/11,"162,345","166,110"
2015/09/10,"42,312","45,188"
2015/09/09,"30,545","24,227"
2015/09/08,"35,170","42,386"
2015/09/07,"26,596","26,586"
2015/09/04,"20,613","19,111"
2015/09/03,"22,142","21,068"
2015/09/02,"20,744","22,347"
2015/09/01,"14,692","17,726"
2015/08/31,"14,232","14,247"
2015/08/28,"18,701","18,225"
2015/08/27,"23,518","20,250"
2015/08/26,"29,022","30,927"
2015/08/25,"20,990","25,468"
2015/08/24,"20,682","14,542"
2015/08/21,"26,130","25,876"
2015/08/20,"17,505","16,506"
2015/08/19,"19,548","16,980"
2015/08/18,"19,786","15,778"
2015/08/17,"19,740","20,561"
2015/08/13,"33,810","35,140"
2015/08/12,"27,410","27,018"
2015/08/11,"24,961","23,217"
2015/08/10,"27,675","19,514"
2015/08/07,"14,466","20,091"
2015/08/06,"23,884","26,272"
2015/08/05,"21,728","46,579"
2015/08/04,"11,954","12,848"
2015/08/03,"20,331","12,805"
2015/07/31,"15,707","15,533"
2015/07/30,"10,990","13,670"
2015/07/29,"15,732","15,536"
2015/07/28,"21,256","24,484"
2015/07/27,"24,006","12,269"
2015/07/24,"28,995","17,748"
2015/07/23,"40,625","23,332"
2015/07/22,"20,038","10,161"
2015/07/21,"26,365","12,940"
2015/07/20,"17,303","8,774"
2015/07/17,"9,290","4,575"
2015/07/16,"18,524","18,272"
2015/07/15,"9,915","8,963"
2015/07/14,"9,895","12,633"
2015/07/13,"31,002","23,238"
2015/07/10,"8,775","16,129"
2015/07/09,"29,588","27,029"
2015/07/08,"23,877","19,971"
2015/07/07,"24,122","15,429"
2015/07/06,"16,448","19,809"
2015/07/03,"16,016","21,109"
2015/07/02,"16,617","22,961"
2015/07/01,"18,883","19,885"
2015/06/30,"13,579","18,090"
2015/06/29,"15,485","16,171"
2015/06/26,"18,449","20,544"
2015/06/25,"30,186","33,897"
2015/06/24,"26,611","27,322"
2015/06/23,"28,762","31,178"
2015/06/22,"31,497","29,223"
2015/06/19,"25,232","24,749"
2015/06/18,"19,696","25,695"
2015/06/17,"25,710","31,350"
2015/06/16,"49,524","52,535"
2015/06/15,"130,050","126,968"
2015/06/12,"114,467","108,312"
2015/06/11,"68,494","65,860"
2015/06/10,"31,489","31,004"
2015/06/09,"24,746","28,054"
2015/06/08,"34,272","26,902"
2015/06/05,"47,985","46,394"
2015/06/04,"42,987","41,391"
2015/06/03,"43,483","53,583"
2015/06/02,"41,370","27,568"
2015/06/01,"38,109","36,336"
2015/05/29,"56,643","42,452"
2015/05/28,"31,949","27,941"
2015/05/27,"37,260","37,498"
2015/05/26,"30,430","26,371"
2015/05/22,"26,024","24,405"
2015/05/21,"43,287","43,516"
2015/05/20,"50,251","51,472"
2015/05/19,"28,989","29,948"
2015/05/18,"42,497","37,335"
2015/05/15,"38,241","47,996"
2015/05/14,"77,877","79,941"
2015/05/13,"54,527","45,062"
2015/05/12,"63,120","66,852"
2015/05/11,"65,806","66,658"
2015/05/08,"49,468","55,941"
2015/05/07,"71,723","82,051"
2015/05/06,"76,883","84,975"
2015/05/04,"36,498","39,232"
2015/04/30,"47,151","51,873"
2015/04/29,"37,677","48,790"
2015/04/28,"44,461","49,862"
2015/04/27,"37,127","27,377"
2015/04/24,"58,461","63,768"
2015/04/23,"27,704","29,868"
2015/04/22,"17,339","16,175"
2015/04/21,"17,022","20,666"
2015/04/20,"19,189","16,696"
2015/04/17,"19,347","17,472"
2015/04/16,"26,784","32,884"
2015/04/15,"31,182","29,686"
2015/04/14,"35,622","38,214"
2015/04/13,"29,931","25,448"
2015/04/10,"36,295","34,004"
2015/04/09,"57,576","62,147"
2015/04/08,"35,474","35,696"
2015/04/07,"44,989","43,022"
2015/04/06,"30,132","31,725"
2015/04/03,"15,275","17,503"
2015/04/02,"20,631","21,717"
2015/04/01,"32,977","32,407"
2015/03/31,"33,876","33,609"
2015/03/30,"26,670","26,250"
